
[Job Tracker] Initialized job: train-mountaincar-5005804f
[Job Tracker] Job directory: jobs/train-mountaincar-5005804f
[Job Tracker] Output log: jobs/train-mountaincar-5005804f/train.log

=== TRAINING MODE ===
Maximum generations: 200
Population size: 60
Mutation rate: 0.2
Crossover rate: 0.5
Generation interval: 0.5
Episodes per evaluation: 3
Parallel workers: 8
Training MountainCar agent with PyTorch + PyMOO
Generations: 200, Population: 60
Network architecture: 2 -> [16, 8] -> 1
==============================================================================================
n_gen  |  n_eval  |     f_avg     |     f_min     |  reward_max  |  reward_avg  | reward_best 
    78 |     4680 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
    79 |     4740 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
    80 |     4800 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
    81 |     4860 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
    82 |     4920 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
    83 |     4980 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
    84 |     5040 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
    85 |     5100 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
    86 |     5160 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
    87 |     5220 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
    88 |     5280 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
    89 |     5340 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
    90 |     5400 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
    91 |     5460 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
    92 |     5520 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
    93 |     5580 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
    94 |     5640 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
    95 |     5700 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
    96 |     5760 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
    97 |     5820 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
    98 |     5880 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
    99 |     5940 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   100 |     6000 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   101 |     6060 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   102 |     6120 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   103 |     6180 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   104 |     6240 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   105 |     6300 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
