
[Job Tracker] Initialized job: train-mountaincar-8ad2d957
[Job Tracker] Job directory: jobs/train-mountaincar-8ad2d957
[Job Tracker] Output log: jobs/train-mountaincar-8ad2d957/train.log

=== TRAINING MODE ===
Maximum generations: 200
Population size: 60
Mutation rate: 0.08
Crossover rate: 0.9
Generation interval: 0.5
Episodes per evaluation: 3
Parallel workers: 8
Training MountainCar agent with PyTorch + PyMOO
Generations: 200, Population: 60
Network architecture: 2 -> [16, 8] -> 1
==============================================================================================
n_gen  |  n_eval  |     f_avg     |     f_min     |  reward_max  |  reward_avg  | reward_best 
   123 |     7380 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   124 |     7440 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   125 |     7500 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   126 |     7560 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   127 |     7620 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   128 |     7680 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   129 |     7740 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   130 |     7800 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   131 |     7860 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   132 |     7920 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   133 |     7980 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   134 |     8040 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   135 |     8100 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   136 |     8160 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   137 |     8220 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   138 |     8280 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   139 |     8340 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   140 |     8400 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   141 |     8460 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   142 |     8520 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   143 |     8580 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   144 |     8640 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   145 |     8700 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   146 |     8760 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   147 |     8820 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   148 |     8880 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   149 |     8940 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   150 |     9000 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   151 |     9060 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   152 |     9120 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   153 |     9180 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   154 |     9240 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   155 |     9300 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   156 |     9360 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   157 |     9420 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   158 |     9480 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   159 |     9540 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   160 |     9600 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   161 |     9660 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   162 |     9720 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   163 |     9780 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   164 |     9840 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   165 |     9900 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   166 |     9960 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   167 |    10020 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   168 |    10080 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   169 |    10140 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   170 |    10200 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   171 |    10260 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   172 |    10320 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   173 |    10380 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   174 |    10440 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   175 |    10500 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   176 |    10560 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   177 |    10620 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   178 |    10680 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   179 |    10740 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   180 |    10800 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   181 |    10860 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   182 |    10920 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   183 |    10980 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   184 |    11040 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   185 |    11100 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
