
[Job Tracker] Initialized job: train-carracing-73bc635e
[Job Tracker] Job directory: jobs/train-carracing-73bc635e
[Job Tracker] Output log: jobs/train-carracing-73bc635e/train.log

=== TRAINING MODE ===
Maximum generations: 200
Population size: 60
Mutation rate: 0.08
Crossover rate: 0.3
Generation interval: 0.5
Episodes per evaluation: 1
Parallel workers: 8
Training CarRacing agent with PyTorch + PyMOO
Generations: 200, Population: 60
Network architecture: 16 -> [8] -> 3
==============================================================================================
n_gen  |  n_eval  |     f_avg     |     f_min     |  reward_max  |  reward_avg  | reward_best 
    85 |     5100 | -9.261983E+02 | -9.284000E+02 |       928.40 |       926.20 |       928.40
    86 |     5160 | -9.262467E+02 | -9.284000E+02 |       928.40 |       926.25 |       928.40
    87 |     5220 | -9.262483E+02 | -9.284000E+02 |       928.40 |       926.25 |       928.40
    88 |     5280 | -9.262617E+02 | -9.284000E+02 |       928.40 |       926.26 |       928.40
    89 |     5340 | -9.262883E+02 | -9.284000E+02 |       928.40 |       926.29 |       928.40
    90 |     5400 | -9.262950E+02 | -9.284000E+02 |       928.40 |       926.29 |       928.40
    91 |     5460 | -9.262950E+02 | -9.284000E+02 |       928.40 |       926.29 |       928.40
    92 |     5520 | -9.262950E+02 | -9.284000E+02 |       928.40 |       926.29 |       928.40
    93 |     5580 | -9.263133E+02 | -9.284000E+02 |       928.40 |       926.31 |       928.40
    94 |     5640 | -9.263183E+02 | -9.284000E+02 |       928.40 |       926.32 |       928.40
    95 |     5700 | -9.263183E+02 | -9.284000E+02 |       928.40 |       926.32 |       928.40
    96 |     5760 | -9.263183E+02 | -9.284000E+02 |       928.40 |       926.32 |       928.40
    97 |     5820 | -9.263400E+02 | -9.284000E+02 |       928.40 |       926.34 |       928.40
    98 |     5880 | -9.263467E+02 | -9.284000E+02 |       928.40 |       926.35 |       928.40
    99 |     5940 | -9.263883E+02 | -9.284000E+02 |       928.40 |       926.39 |       928.40
   100 |     6000 | -9.264183E+02 | -9.284000E+02 |       928.40 |       926.42 |       928.40
   101 |     6060 | -9.264200E+02 | -9.284000E+02 |       928.40 |       926.42 |       928.40
   102 |     6120 | -9.264433E+02 | -9.284000E+02 |       928.40 |       926.44 |       928.40
   103 |     6180 | -9.264933E+02 | -9.290000E+02 |       929.00 |       926.49 |       929.00
   104 |     6240 | -9.265133E+02 | -9.290000E+02 |       929.00 |       926.51 |       929.00
   105 |     6300 | -9.265450E+02 | -9.290000E+02 |       929.00 |       926.54 |       929.00
   106 |     6360 | -9.265900E+02 | -9.290000E+02 |       929.00 |       926.59 |       929.00
   107 |     6420 | -9.266233E+02 | -9.290000E+02 |       929.00 |       926.62 |       929.00
   108 |     6480 | -9.266567E+02 | -9.290000E+02 |       929.00 |       926.66 |       929.00
   109 |     6540 | -9.266617E+02 | -9.290000E+02 |       929.00 |       926.66 |       929.00
   110 |     6600 | -9.267117E+02 | -9.290000E+02 |       929.00 |       926.71 |       929.00
   111 |     6660 | -9.267550E+02 | -9.290000E+02 |       929.00 |       926.75 |       929.00
   112 |     6720 | -9.267550E+02 | -9.290000E+02 |       929.00 |       926.75 |       929.00
   113 |     6780 | -9.267733E+02 | -9.290000E+02 |       929.00 |       926.77 |       929.00
   114 |     6840 | -9.267750E+02 | -9.290000E+02 |       929.00 |       926.77 |       929.00
   115 |     6900 | -9.268167E+02 | -9.290000E+02 |       929.00 |       926.82 |       929.00
   116 |     6960 | -9.268417E+02 | -9.290000E+02 |       929.00 |       926.84 |       929.00
   117 |     7020 | -9.268600E+02 | -9.290000E+02 |       929.00 |       926.86 |       929.00
   118 |     7080 | -9.268883E+02 | -9.290000E+02 |       929.00 |       926.89 |       929.00
   119 |     7140 | -9.269117E+02 | -9.290000E+02 |       929.00 |       926.91 |       929.00
   120 |     7200 | -9.269967E+02 | -9.290000E+02 |       929.00 |       927.00 |       929.00
   121 |     7260 | -9.270683E+02 | -9.290000E+02 |       929.00 |       927.07 |       929.00
   122 |     7320 | -9.271483E+02 | -9.290000E+02 |       929.00 |       927.15 |       929.00
   123 |     7380 | -9.272883E+02 | -9.290000E+02 |       929.00 |       927.29 |       929.00
   124 |     7440 | -9.273200E+02 | -9.290000E+02 |       929.00 |       927.32 |       929.00
   125 |     7500 | -9.273983E+02 | -9.290000E+02 |       929.00 |       927.40 |       929.00
   126 |     7560 | -9.274917E+02 | -9.290000E+02 |       929.00 |       927.49 |       929.00
   127 |     7620 | -9.276017E+02 | -9.291000E+02 |       929.10 |       927.60 |       929.10
   128 |     7680 | -9.276300E+02 | -9.291000E+02 |       929.10 |       927.63 |       929.10
   129 |     7740 | -9.277033E+02 | -9.292000E+02 |       929.20 |       927.70 |       929.20
   130 |     7800 | -9.277633E+02 | -9.292000E+02 |       929.20 |       927.76 |       929.20
   131 |     7860 | -9.278467E+02 | -9.292000E+02 |       929.20 |       927.85 |       929.20
   132 |     7920 | -9.278750E+02 | -9.292000E+02 |       929.20 |       927.87 |       929.20
   133 |     7980 | -9.278933E+02 | -9.292000E+02 |       929.20 |       927.89 |       929.20
   134 |     8040 | -9.279400E+02 | -9.292000E+02 |       929.20 |       927.94 |       929.20
   135 |     8100 | -9.279983E+02 | -9.292000E+02 |       929.20 |       928.00 |       929.20
   136 |     8160 | -9.280267E+02 | -9.292000E+02 |       929.20 |       928.03 |       929.20
   137 |     8220 | -9.280950E+02 | -9.297000E+02 |       929.70 |       928.09 |       929.70
   138 |     8280 | -9.281600E+02 | -9.297000E+02 |       929.70 |       928.16 |       929.70
   139 |     8340 | -9.282017E+02 | -9.297000E+02 |       929.70 |       928.20 |       929.70
   140 |     8400 | -9.282283E+02 | -9.297000E+02 |       929.70 |       928.23 |       929.70
   141 |     8460 | -9.282483E+02 | -9.297000E+02 |       929.70 |       928.25 |       929.70
   142 |     8520 | -9.282700E+02 | -9.297000E+02 |       929.70 |       928.27 |       929.70
   143 |     8580 | -9.283000E+02 | -9.297000E+02 |       929.70 |       928.30 |       929.70
   144 |     8640 | -9.283850E+02 | -9.297000E+02 |       929.70 |       928.38 |       929.70
   145 |     8700 | -9.284217E+02 | -9.297000E+02 |       929.70 |       928.42 |       929.70
   146 |     8760 | -9.284250E+02 | -9.297000E+02 |       929.70 |       928.42 |       929.70
   147 |     8820 | -9.284333E+02 | -9.297000E+02 |       929.70 |       928.43 |       929.70
   148 |     8880 | -9.284433E+02 | -9.297000E+02 |       929.70 |       928.44 |       929.70
   149 |     8940 | -9.284500E+02 | -9.297000E+02 |       929.70 |       928.45 |       929.70
   150 |     9000 | -9.284583E+02 | -9.297000E+02 |       929.70 |       928.46 |       929.70
   151 |     9060 | -9.284717E+02 | -9.297000E+02 |       929.70 |       928.47 |       929.70
   152 |     9120 | -9.284850E+02 | -9.297000E+02 |       929.70 |       928.48 |       929.70
   153 |     9180 | -9.285050E+02 | -9.297000E+02 |       929.70 |       928.50 |       929.70
   154 |     9240 | -9.285267E+02 | -9.297000E+02 |       929.70 |       928.53 |       929.70
   155 |     9300 | -9.285483E+02 | -9.297000E+02 |       929.70 |       928.55 |       929.70
   156 |     9360 | -9.285900E+02 | -9.297000E+02 |       929.70 |       928.59 |       929.70
   157 |     9420 | -9.285900E+02 | -9.297000E+02 |       929.70 |       928.59 |       929.70
   158 |     9480 | -9.285900E+02 | -9.297000E+02 |       929.70 |       928.59 |       929.70
   159 |     9540 | -9.286150E+02 | -9.297000E+02 |       929.70 |       928.61 |       929.70
   160 |     9600 | -9.286333E+02 | -9.297000E+02 |       929.70 |       928.63 |       929.70
   161 |     9660 | -9.286433E+02 | -9.297000E+02 |       929.70 |       928.64 |       929.70
   162 |     9720 | -9.286600E+02 | -9.297000E+02 |       929.70 |       928.66 |       929.70
   163 |     9780 | -9.286750E+02 | -9.297000E+02 |       929.70 |       928.67 |       929.70
   164 |     9840 | -9.286850E+02 | -9.297000E+02 |       929.70 |       928.68 |       929.70
   165 |     9900 | -9.286850E+02 | -9.297000E+02 |       929.70 |       928.68 |       929.70
   166 |     9960 | -9.286850E+02 | -9.297000E+02 |       929.70 |       928.68 |       929.70
   167 |    10020 | -9.286967E+02 | -9.297000E+02 |       929.70 |       928.70 |       929.70
   168 |    10080 | -9.287250E+02 | -9.300000E+02 |       930.00 |       928.72 |       930.00
   169 |    10140 | -9.287283E+02 | -9.300000E+02 |       930.00 |       928.73 |       930.00
   170 |    10200 | -9.287533E+02 | -9.300000E+02 |       930.00 |       928.75 |       930.00
   171 |    10260 | -9.287533E+02 | -9.300000E+02 |       930.00 |       928.75 |       930.00
   172 |    10320 | -9.287583E+02 | -9.300000E+02 |       930.00 |       928.76 |       930.00
   173 |    10380 | -9.287700E+02 | -9.300000E+02 |       930.00 |       928.77 |       930.00
   174 |    10440 | -9.287800E+02 | -9.300000E+02 |       930.00 |       928.78 |       930.00
   175 |    10500 | -9.287967E+02 | -9.300000E+02 |       930.00 |       928.80 |       930.00
   176 |    10560 | -9.288333E+02 | -9.300000E+02 |       930.00 |       928.83 |       930.00
   177 |    10620 | -9.288333E+02 | -9.300000E+02 |       930.00 |       928.83 |       930.00
   178 |    10680 | -9.288467E+02 | -9.300000E+02 |       930.00 |       928.85 |       930.00
   179 |    10740 | -9.288517E+02 | -9.300000E+02 |       930.00 |       928.85 |       930.00
   180 |    10800 | -9.288650E+02 | -9.300000E+02 |       930.00 |       928.86 |       930.00
   181 |    10860 | -9.288800E+02 | -9.300000E+02 |       930.00 |       928.88 |       930.00
   182 |    10920 | -9.289067E+02 | -9.300000E+02 |       930.00 |       928.91 |       930.00
   183 |    10980 | -9.289317E+02 | -9.300000E+02 |       930.00 |       928.93 |       930.00
   184 |    11040 | -9.289333E+02 | -9.300000E+02 |       930.00 |       928.93 |       930.00
   185 |    11100 | -9.289467E+02 | -9.300000E+02 |       930.00 |       928.95 |       930.00
   186 |    11160 | -9.289467E+02 | -9.300000E+02 |       930.00 |       928.95 |       930.00
   187 |    11220 | -9.289467E+02 | -9.300000E+02 |       930.00 |       928.95 |       930.00
   188 |    11280 | -9.289467E+02 | -9.300000E+02 |       930.00 |       928.95 |       930.00
   189 |    11340 | -9.289633E+02 | -9.300000E+02 |       930.00 |       928.96 |       930.00
   190 |    11400 | -9.289767E+02 | -9.300000E+02 |       930.00 |       928.98 |       930.00
   191 |    11460 | -9.289817E+02 | -9.300000E+02 |       930.00 |       928.98 |       930.00
   192 |    11520 | -9.289817E+02 | -9.300000E+02 |       930.00 |       928.98 |       930.00
   193 |    11580 | -9.289817E+02 | -9.300000E+02 |       930.00 |       928.98 |       930.00
   194 |    11640 | -9.289883E+02 | -9.300000E+02 |       930.00 |       928.99 |       930.00
   195 |    11700 | -9.290017E+02 | -9.300000E+02 |       930.00 |       929.00 |       930.00
   196 |    11760 | -9.290067E+02 | -9.300000E+02 |       930.00 |       929.01 |       930.00
   197 |    11820 | -9.290350E+02 | -9.300000E+02 |       930.00 |       929.03 |       930.00
   198 |    11880 | -9.290583E+02 | -9.300000E+02 |       930.00 |       929.06 |       930.00
   199 |    11940 | -9.290667E+02 | -9.300000E+02 |       930.00 |       929.07 |       930.00
   200 |    12000 | -9.290683E+02 | -9.300000E+02 |       930.00 |       929.07 |       930.00
Model saved:
- PyTorch model: jobs/train-carracing-73bc635e/carracing_best.pth
- Weights vector: jobs/train-carracing-73bc635e/carracing_weights.npy
- Learning curve: jobs/train-carracing-73bc635e/carracing_learning_curve.png

Training completed!
Best fitness: 930.00
Success threshold: 900
Training completed after 200 generations. Best fitness: 930.00

=== EVALUATING TRAINED AGENT ===
Testing trained agent without rendering:
Episode 1: reward = 910.69999999998
Episode 2: reward = 918.3999999999913
Episode 3: reward = 905.29999999998
Episode 4: reward = 921.9999999999853
Episode 5: reward = 917.5999999999801
Episode 6: reward = 918.1999999999916
Episode 7: reward = 913.7999999999925
Episode 8: reward = 919.1999999999856
Episode 9: reward = 177.77777777777771
Episode 10: reward = 927.8999999999915

Average reward over 10 episodes: 843.09
Standard deviation: 221.85

Not quite there yet. Average reward 843.09, threshold is 900
[Job Tracker] Promoted best artifacts to top-level: checkpoints/carracing_best.pth, checkpoints/carracing_weights.npy, checkpoints/carracing_learning_curve.png
